CITGO PETROLEUM CORP,1011746
CITGO PETROLEUM CORP,1011746
CITGO PETROLEUM CORP,1011746
CITGO PETROLEUM CORP,1011746
CITGO PETROLEUM CORP,1011746
CITGO PETROLEUM CORP,1011746
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
RAYTHEON CO/,1047122
UNOCAL CORP,716039
UNOCAL CORP,716039
UNOCAL CORP,716039
UNOCAL CORP,716039
UNOCAL CORP,716039
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
OCCIDENTAL PETROLEUM CORP /DE/,797468
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
FORTUNE BRANDS INC,789073
"Fortune Brands Home & Security, Inc.",1519751
"Fortune Brands Home & Security, Inc.",1519751
"Fortune Brands Home & Security, Inc.",1519751
"Fortune Brands Home & Security, Inc.",1519751
"Fortune Brands Home & Security, Inc.",1519751
"Fortune Brands Home & Security, Inc.",1519751
"Fortune Brands Home & Security, Inc.",1519751
"Fortune Brands Home & Security, Inc.",1519751
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
GENERAL DYNAMICS CORP,40533
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
SUNOCO INC,95304
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
MONSANTO CO /NEW/,1110783
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
BAXTER INTERNATIONAL INC,10456
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
UNISYS CORP,746838
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TEXTRON INC,217346
TRW AUTOMOTIVE HOLDINGS CORP,1267097
TRW AUTOMOTIVE HOLDINGS CORP,1267097
TRW AUTOMOTIVE HOLDINGS CORP,1267097
