company name ,cik 2 
Deere,
H.J. Heinz,1637459
Bestfoods,
Bayer Corporation,
Sealed Air,
Eli Lilly,
Campbell Soup,
Honeywell,773840
Kellogg,
Union Carbide,
Cooper Industries,1141982
North American Philips,
Intel,
Amerada Hess,
Martin Marietta,
PPG Industries,
Litton Industries,
Reynolds Metals,
Warner-Lambert,
Quaker Oats,
Levi Strauss,
Northrop Grumman,
Stone Container,
LTV,
American Cyanamid,
Gillette,
Johnson Controls,
Coca-Cola Enterprises,
BASF,
Dana,
Champion International,
Scott Paper,
Lyondell Chemical,1489393
Black & Decker,12355
Fort James,
Mead,
Chiquita Brands Intl.,
Dresser Industries,
R.R. Donnelley & Sons,
Tyson Foods,
Compaq Computer,
J.E. Seagram,
Rhone-Poulenc Rorer,1325676
Eaton,
Schering-Plough,
Bethlehem Steel,
FMC,
Navistar International,
VF,
Avon Products,
American Standard,
Ingersoll-Rand,50485
Crown Holdings,
Cummins,
Corning,
OfficeMax,
Pharmacia,
Owens-Illinois,812074
AMAX,
Times Mirror,925260
Sun Microsystems,
Masco,
Grumman,
Ryerson Tull,1013595
Gannett,
Pitney Bowes,
Farmland Industries,
FINA,
Kerr-McGee,1141185
AMP,
Agway,
Air Products & Chem.,
Hershey Foods,
Varity,
Rohm & Haas,
Tyco International,
Union Camp,
Harris,
Maytag,
Berkshire Hathaway,
Smurfit-Stone Container,727742
Universal,
Ethyl,
Premark International,
Teledyne,
Seagate Technology,354952
Loral,1006269
Hercules,46989
Owens Corning,1370946
Illinois Tool Works,
Hormel Foods,
PerkinElmer,77551
Paccar,
Sherwin-Williams,
Pennzoil,
Temple-Inland,
Readers Digest Assn.,
Mapco,
Avery Dennison,
Diamond Shamrock,
Ultramar Diamond Shamrock,
Phelps Dodge,
Land OLakes,
AMDAHL,
Armstrong Holdings,
Baker Hughes,1701605
Hasbro,
Goodrich,
Ball,
Engelhard,
Total Petroleum,
Whitman,1084230
Olin,
Parker Hannifin,
National Steel,1231868
McDermott,
Willamette Industries,
Becton Dickinson,
Westvaco,1159297
Knight-Ridder,
Quantum Chemical,
Dean Foods,
Dover,
Intl. Multifoods,
Conner Peripherals,
Premcor,
Maxxam,
Manville,
Brunswick,
Collins & Aikman,846815
Stanley Works,
Louisiana-Pacific,
Polaroid,1227728
Tosco,
Tribune,
E-SYSTEMS,
ARMCO,
Burlington Industries Equity,
Tandem Computers,
McGraw-Hill,
Springs Industries,
Molson Coors Brewing,
Dow Corning,
York International,
GenCorp,
Asarco,
Morton International,
Wang Laboratories,
Central Soya,
Arvin Industries,
Pet,
Mattel,
MID-AMERICA DAIRYMEN,
Sequa,
Fruit of the Loom,
Sonoco Products,
Dow Jones,
Rubbermaid,85627
Echlin,
USG,
CENEX,
New York Times,
Shaw Industries,
Witco,
National Semiconductor,
Imcera Group,
Bausch & Lomb,
Clorox,
Sundstrand,
Aeroquip-Vickers,
Murphy Oil,
Metaldyne,1616817
Burlington Resources,
Freeport-McMoran,
Cyprus Amax Minerals,
Timken,
National Service Industries,
Harsco,
General Signal,
Nucor,
Duracell International,
Fleetwood Enterprises,
Storage Technology,
Newell Rubbermaid,
Crown Central,
American Greetings,
Cabot,
Lubrizol,
Reliance Electric,
Deluxe,
Advanced Micro Devices,
Lafarge,
WestPoint Stevens,
Great Lakes Chemical,
Bowater,
Nacco Industries,
McCormick,
Furniture Brands Intl.,
Washington Post,
Federal Paper Board,
Hillenbrand Industries,
Del Monte Foods,
Lear,
Joy Global,
Nalco Chemical,
Coltec Industries,
Walter Industries,
M.A. Hanna,
Potlatch,
Thiokol,
Oryx Energy,
Gold Kist Holdings,
Crane,
Wm. Wrigley Jr.,
Great American Mgmt. & Inv.,
Tektronix,
Raychem,
Dresser-Rand,
Gerber Products,
Varian Associates,
Tecumseh Products,
Rohr,
