CITGO PETROLEUM CORP,1011746,1011746,10-K,24-Mar-00,https://www.sec.gov/index.htm
CITGO PETROLEUM CORP,1011746,1011746,10-K,21-Mar-01,https://www.sec.gov/Archives/edgar/data/1011746/000095012901001555/h84773e10-k.txt
CITGO PETROLEUM CORP,1011746,1011746,10-K,28-Mar-02,https://www.sec.gov/Archives/edgar/data/1011746/000095012902001575/h95032e10-k.txt
CITGO PETROLEUM CORP,1011746,1011746,10-K,24-Mar-03,https://www.sec.gov/Archives/edgar/data/1011746/000095012903001503/h03365e10vk.txt
CITGO PETROLEUM CORP,1011746,1011746,10-K,30-Mar-04,https://www.sec.gov/Archives/edgar/data/1011746/000095012904001636/h13896e10vk.txt
CITGO PETROLEUM CORP,1011746,1011746,10-K,31-Mar-05,https://www.sec.gov/Archives/edgar/data/1011746/000095012905003139/h23806e10vk.txt
RAYTHEON CO/,1047122,1047122,10-K,28-Mar-00,https://www.sec.gov/index.htm
RAYTHEON CO/,1047122,1047122,10-K,19-Mar-02,https://www.sec.gov/Archives/edgar/data/1047122/000092701602001497/d10k.txt
RAYTHEON CO/,1047122,1047122,10-K,24-Mar-03,https://www.sec.gov/Archives/edgar/data/1047122/000092701603001276/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,15-Mar-04,https://www.sec.gov/Archives/edgar/data/1047122/000119312504042073/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,15-Mar-05,https://www.sec.gov/Archives/edgar/data/1047122/000119312505050699/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,2-Mar-06,https://www.sec.gov/Archives/edgar/data/1047122/000119312506042984/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,22-Feb-07,https://www.sec.gov/Archives/edgar/data/1047122/000119312507037249/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,27-Feb-08,https://www.sec.gov/Archives/edgar/data/1047122/000119312508039853/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,25-Feb-09,https://www.sec.gov/Archives/edgar/data/1047122/000119312509037012/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,24-Feb-10,https://www.sec.gov/Archives/edgar/data/1047122/000119312510038391/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,23-Feb-11,https://www.sec.gov/Archives/edgar/data/1047122/000119312511043015/d10k.htm
RAYTHEON CO/,1047122,1047122,10-K,22-Feb-12,https://www.sec.gov/Archives/edgar/data/1047122/000104712212000044/rtn-12312011x10k.htm
RAYTHEON CO/,1047122,1047122,10-K,13-Feb-13,https://www.sec.gov/Archives/edgar/data/1047122/000104712213000015/rtn-12312012x10k.htm
RAYTHEON CO/,1047122,1047122,10-K,11-Feb-14,https://www.sec.gov/Archives/edgar/data/1047122/000104712214000013/rtn-1231201310k.htm
RAYTHEON CO/,1047122,1047122,10-K,11-Feb-15,https://www.sec.gov/Archives/edgar/data/1047122/000104712215000026/rtn-1231201410k.htm
RAYTHEON CO/,1047122,1047122,10-K,10-Feb-16,https://www.sec.gov/Archives/edgar/data/1047122/000104712216000210/rtn-1231201510k.htm
RAYTHEON CO/,1047122,1047122,10-K,15-Feb-17,https://www.sec.gov/Archives/edgar/data/1047122/000104712217000018/rtn-12312016x10k.htm
RAYTHEON CO/,1047122,1047122,10-K,14-Feb-18,https://www.sec.gov/Archives/edgar/data/1047122/000104712218000022/rtn-12312017x10k.htm
RAYTHEON CO/,1047122,1047122,10-K,13-Feb-19,https://www.sec.gov/ix?doc=/Archives/edgar/data/1047122/000104712219000007/rtn-12312018x10k.htm
UNOCAL CORP,716039,716039,10-K,14-Mar-00,https://www.sec.gov/index.htm
UNOCAL CORP,716039,716039,10-K,15-Mar-02,https://www.sec.gov/Archives/edgar/data/716039/000071603902000006/f10k2001_body.txt
UNOCAL CORP,716039,716039,10-K,21-Mar-03,https://www.sec.gov/Archives/edgar/data/716039/000089843003001993/d10k.htm
