14272,BRISTOL MYERS SQUIBB CO,10-K,2-Apr-01,https://www.sec.gov/Archives/edgar/data/14272/000001427201500006/r10k1231.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,28-Mar-03,https://www.sec.gov/Archives/edgar/data/14272/000104746903010810/a2106681z10-k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,15-Mar-04,https://www.sec.gov/Archives/edgar/data/14272/000119312504041353/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,4-Mar-05,https://www.sec.gov/Archives/edgar/data/14272/000119312505041808/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,14-Mar-06,https://www.sec.gov/Archives/edgar/data/14272/000119312506052456/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,26-Feb-07,https://www.sec.gov/Archives/edgar/data/14272/000119312507039915/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,22-Feb-08,https://www.sec.gov/Archives/edgar/data/14272/000119312508035566/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,20-Feb-09,https://www.sec.gov/Archives/edgar/data/14272/000119312509033538/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,19-Feb-10,https://www.sec.gov/Archives/edgar/data/14272/000119312510035167/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,18-Feb-11,https://www.sec.gov/Archives/edgar/data/14272/000119312511040120/d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,17-Feb-12,https://www.sec.gov/Archives/edgar/data/14272/000119312512066416/d302058d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,15-Feb-13,https://www.sec.gov/Archives/edgar/data/14272/000119312513061678/d450621d10k.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,14-Feb-14,https://www.sec.gov/Archives/edgar/data/14272/000001427214000054/bmy-20131231x10xk.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,13-Feb-15,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,12-Feb-16,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/bmy-20151231x10xk.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,21-Feb-17,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/bmy-20161231x10xk.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,13-Feb-18,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/bmy-20171231x10xk.htm
14272,BRISTOL MYERS SQUIBB CO,10-K,25-Feb-19,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/bmy-20181231x10xk.htm
310569,ANHEUSER BUSCH COMPANIES INC,10-K,23-Mar-00,https://www.sec.gov/index.htm
310569,ANHEUSER BUSCH COMPANIES INC,10-K,29-Mar-01,https://www.sec.gov/Archives/edgar/data/310569/000095011401500019/eo10k.txt
310569,ANHEUSER BUSCH COMPANIES INC,10-K,27-Mar-02,https://www.sec.gov/Archives/edgar/data/310569/000095011402000007/eoab10k.txt
310569,ANHEUSER BUSCH COMPANIES INC,10-K,26-Mar-03,https://www.sec.gov/Archives/edgar/data/310569/000106880003000226/ab10k.txt
310569,ANHEUSER BUSCH COMPANIES INC,10-K,11-Mar-04,https://www.sec.gov/Archives/edgar/data/310569/000106880004000195/ab10k.txt
