14272,14272,BRISTOL MYERS SQUIBB CO,10-K,2-Apr-01,https://www.sec.gov/Archives/edgar/data/14272/0000014272-01-500006-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,28-Mar-03,https://www.sec.gov/Archives/edgar/data/14272/0001047469-03-010810-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,15-Mar-04,https://www.sec.gov/Archives/edgar/data/14272/0001193125-04-041353-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,4-Mar-05,https://www.sec.gov/Archives/edgar/data/14272/0001193125-05-041808-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,14-Mar-06,https://www.sec.gov/Archives/edgar/data/14272/0001193125-06-052456-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,26-Feb-07,https://www.sec.gov/Archives/edgar/data/14272/0001193125-07-039915-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,22-Feb-08,https://www.sec.gov/Archives/edgar/data/14272/0001193125-08-035566-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,20-Feb-09,https://www.sec.gov/Archives/edgar/data/14272/0001193125-09-033538-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,19-Feb-10,https://www.sec.gov/Archives/edgar/data/14272/0001193125-10-035167-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,18-Feb-11,https://www.sec.gov/Archives/edgar/data/14272/0001193125-11-040120-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,17-Feb-12,https://www.sec.gov/Archives/edgar/data/14272/0001193125-12-066416-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,15-Feb-13,https://www.sec.gov/Archives/edgar/data/14272/0001193125-13-061678-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,14-Feb-14,https://www.sec.gov/Archives/edgar/data/14272/0000014272-14-000054-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,13-Feb-15,https://www.sec.gov/Archives/edgar/data/14272/0000014272-15-000055-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,12-Feb-16,https://www.sec.gov/Archives/edgar/data/14272/0000014272-16-000288-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,21-Feb-17,https://www.sec.gov/Archives/edgar/data/14272/0000014272-17-000047-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,13-Feb-18,https://www.sec.gov/Archives/edgar/data/14272/0000014272-18-000055-index.htm
14272,14272,BRISTOL MYERS SQUIBB CO,10-K,25-Feb-19,https://www.sec.gov/Archives/edgar/data/14272/0000014272-19-000047-index.htm
310569,310569,ANHEUSER BUSCH COMPANIES INC,10-K,23-Mar-00,https://www.sec.gov/Archives/edgar/data/310569/0000950114-00-000019-index.htm
310569,310569,ANHEUSER BUSCH COMPANIES INC,10-K,29-Mar-01,https://www.sec.gov/Archives/edgar/data/310569/0000950114-01-500019-index.htm
310569,310569,ANHEUSER BUSCH COMPANIES INC,10-K,27-Mar-02,https://www.sec.gov/Archives/edgar/data/310569/0000950114-02-000007-index.htm
310569,310569,ANHEUSER BUSCH COMPANIES INC,10-K,26-Mar-03,https://www.sec.gov/Archives/edgar/data/310569/0001068800-03-000226-index.htm
